1364,"(1, 1, 2)"
1365,"(2, 0, 2)"
1366,"(2, 0, 2)"
1367,"(0, 0, 2)"
1369,"(2, 0, 2)"
1370,"(2, 0, 2)"
1371,"(0, 0, 2)"
1372,"(2, 0, 1)"
1373,"(0, 1, 2)"
1374,"(0, 1, 1)"
1375,"(1, 0, 2)"
1376,"(1, 0, 2)"
1378,"(2, 1, 2)"
1380,"(0, 1, 2)"
1381,"(2, 0, 2)"
1382,"(2, 1, 1)"
1385,"(1, 0, 1)"
1386,"(2, 1, 2)"
1387,"(2, 1, 2)"
1388,"(2, 1, 1)"
1389,"(2, 0, 2)"
1390,"(0, 1, 2)"
1391,"(1, 1, 2)"
1393,"(2, 1, 2)"
1398,"(0, 1, 1)"
1400,"(2, 0, 1)"
1401,"(2, 0, 2)"
1402,"(2, 1, 1)"
1404,"(1, 1, 1)"
1405,"(1, 0, 1)"
1406,"(0, 1, 2)"
1407,"(0, 1, 2)"
1410,"(2, 1, 2)"
1411,"(2, 0, 2)"
1412,"(2, 1, 1)"
1413,"(2, 1, 1)"
1414,"(2, 0, 2)"
1415,"(0, 0, 2)"
1416,"(0, 1, 1)"
1417,"(1, 0, 0)"
1418,"(2, 0, 2)"
1421,"(0, 1, 2)"
1423,"(1, 1, 2)"
1425,"(2, 1, 2)"
1426,"(0, 1, 1)"
1427,"(1, 0, 2)"
1428,"(0, 1, 1)"
1429,"(2, 1, 1)"
1430,"(2, 1, 2)"
1431,"(2, 1, 1)"
1432,"(2, 1, 1)"
1435,"(2, 1, 1)"
1438,"(0, 0, 2)"
1439,"(2, 1, 2)"
1440,"(2, 1, 2)"
1441,"(2, 1, 1)"
1443,"(1, 0, 1)"
1444,"(1, 0, 2)"
1446,"(2, 1, 2)"
1447,"(1, 1, 1)"
1450,"(2, 0, 2)"
1452,"(1, 0, 2)"
1453,"(0, 1, 2)"
1454,"(2, 1, 2)"
1456,"(0, 0, 2)"
1457,"(1, 0, 2)"
1458,"(1, 0, 1)"
1459,"(1, 1, 1)"
1461,"(1, 1, 2)"
1462,"(0, 1, 2)"
1463,"(1, 0, 1)"
1464,"(2, 0, 1)"
1465,"(2, 1, 2)"
1468,"(2, 1, 2)"
1469,"(0, 1, 2)"
1471,"(0, 1, 2)"
1472,"(0, 1, 1)"
1473,"(0, 1, 2)"
1474,"(0, 1, 2)"
1475,"(0, 1, 2)"
1476,"(0, 1, 2)"
1477,"(2, 1, 1)"
1478,"(2, 0, 1)"
1479,"(2, 0, 1)"
1480,"(2, 0, 0)"
1481,"(1, 0, 2)"
1482,"(0, 1, 2)"
1484,"(2, 1, 2)"
1485,"(1, 0, 2)"
1487,"(1, 1, 2)"
1488,"(2, 1, 1)"
1491,"(0, 1, 2)"
1492,"(0, 1, 1)"
1493,"(0, 0, 2)"
1494,"(2, 0, 2)"
1495,"(2, 0, 0)"
1496,"(0, 1, 2)"
1497,"(1, 1, 2)"
1498,"(2, 1, 1)"
1499,"(1, 1, 2)"
1502,"(0, 1, 1)"
1503,"(1, 0, 2)"
1507,"(0, 0, 1)"
1510,"(0, 1, 1)"
1514,"(1, 0, 2)"
1515,"(2, 0, 2)"
1516,"(2, 0, 1)"
1517,"(0, 1, 2)"
1518,"(2, 0, 2)"
1520,"(2, 0, 2)"
1521,"(2, 0, 1)"
1522,"(2, 0, 2)"
1523,"(1, 0, 0)"
1524,"(2, 0, 1)"
1525,"(2, 0, 2)"
1526,"(2, 1, 1)"
1527,"(0, 1, 1)"
1528,"(1, 1, 1)"
1529,"(0, 1, 2)"
1530,"(2, 1, 1)"
1531,"(2, 0, 2)"
1532,"(1, 1, 1)"
1533,"(2, 0, 2)"
1534,"(2, 1, 2)"
1535,"(1, 1, 2)"
1537,"(1, 0, 1)"
1539,"(2, 0, 2)"
1540,"(2, 1, 1)"
1541,"(2, 0, 0)"
1542,"(2, 1, 1)"
1545,"(0, 1, 2)"
1546,"(2, 0, 2)"
1548,"(0, 1, 1)"
1549,"(2, 1, 1)"
1550,"(0, 0, 2)"
1551,"(2, 1, 1)"
1554,"(2, 0, 2)"
1555,"(0, 1, 1)"
1556,"(0, 1, 2)"
1557,"(1, 0, 2)"
1558,"(2, 1, 1)"
1559,"(1, 1, 1)"
1560,"(1, 1, 2)"
